Continent,year,month,ESVD2.0_Biome,Int$ Per Hectare Per Year,date
Europe,2010,1,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-01-01
Europe,2010,2,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-02-01
Europe,2010,3,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-03-01
Europe,2010,4,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-04-01
Europe,2010,5,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-05-01
Europe,2010,6,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-06-01
Europe,2010,7,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-07-01
Europe,2010,8,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-08-01
Europe,2010,9,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-09-01
Europe,2010,10,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-10-01
Europe,2010,11,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-11-01
Europe,2010,12,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas",49.40485,2010-12-01
Europe,2010,1,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-01-01
Europe,2010,2,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-02-01
Europe,2010,3,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-03-01
Europe,2010,4,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-04-01
Europe,2010,5,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-05-01
Europe,2010,6,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-06-01
Europe,2010,7,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-07-01
Europe,2010,8,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-08-01
Europe,2010,9,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-09-01
Europe,2010,10,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-10-01
Europe,2010,11,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-11-01
Europe,2010,12,Temperate forests and woodlands; Rivers and lakes,68.53278333333334,2010-12-01
Europe,2010,1,Temperate forests and woodlands,40.90830833333333,2010-01-01
Europe,2010,2,Temperate forests and woodlands,40.90830833333333,2010-02-01
Europe,2010,3,Temperate forests and woodlands,40.90830833333333,2010-03-01
Europe,2010,4,Temperate forests and woodlands,40.90830833333333,2010-04-01
Europe,2010,5,Temperate forests and woodlands,40.90830833333333,2010-05-01
Europe,2010,6,Temperate forests and woodlands,40.90830833333333,2010-06-01
Europe,2010,7,Temperate forests and woodlands,40.90830833333333,2010-07-01
Europe,2010,8,Temperate forests and woodlands,40.90830833333333,2010-08-01
Europe,2010,9,Temperate forests and woodlands,40.90830833333333,2010-09-01
Europe,2010,10,Temperate forests and woodlands,40.90830833333333,2010-10-01
Europe,2010,11,Temperate forests and woodlands,40.90830833333333,2010-11-01
Europe,2010,12,Temperate forests and woodlands,40.90830833333333,2010-12-01
Europe,2010,1,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-01-01
Europe,2010,2,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-02-01
Europe,2010,3,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-03-01
Europe,2010,4,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-04-01
Europe,2010,5,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-05-01
Europe,2010,6,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-06-01
Europe,2010,7,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-07-01
Europe,2010,8,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-08-01
Europe,2010,9,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-09-01
Europe,2010,10,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-10-01
Europe,2010,11,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-11-01
Europe,2010,12,"Temperate forests and woodlands; Rivers and lakes; Rangelands, natural grasslands and savannas; Inland wetlands; Intensive land use",26.343783333333334,2010-12-01
Europe,2010,1,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-01-01
Europe,2010,2,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-02-01
Europe,2010,3,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-03-01
Europe,2010,4,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-04-01
Europe,2010,5,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-05-01
Europe,2010,6,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-06-01
Europe,2010,7,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-07-01
Europe,2010,8,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-08-01
Europe,2010,9,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-09-01
Europe,2010,10,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-10-01
Europe,2010,11,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-11-01
Europe,2010,12,Temperate forests and woodlands; Rivers and lakes,40.8074,2010-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",87610.83824166667,2018-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",0.034175000000000004,2018-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",25.093933333333336,2018-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",11061.974525,2018-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",37168.23440833334,2018-12-01
Europe,2018,1,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-01-01
Europe,2018,2,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-02-01
Europe,2018,3,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-03-01
Europe,2018,4,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-04-01
Europe,2018,5,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-05-01
Europe,2018,6,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-06-01
Europe,2018,7,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-07-01
Europe,2018,8,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-08-01
Europe,2018,9,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-09-01
Europe,2018,10,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-10-01
Europe,2018,11,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-11-01
Europe,2018,12,"Rivers and lakes; Rangelands, natural grasslands and savannas",2.1852833333333335,2018-12-01
Europe,2021,1,Temperate forests and woodlands,19.238575,2021-01-01
Europe,2021,2,Temperate forests and woodlands,19.238575,2021-02-01
Europe,2021,3,Temperate forests and woodlands,19.238575,2021-03-01
Europe,2021,4,Temperate forests and woodlands,19.238575,2021-04-01
Europe,2021,5,Temperate forests and woodlands,19.238575,2021-05-01
Europe,2021,6,Temperate forests and woodlands,19.238575,2021-06-01
Europe,2021,7,Temperate forests and woodlands,19.238575,2021-07-01
Europe,2021,8,Temperate forests and woodlands,19.238575,2021-08-01
Europe,2021,9,Temperate forests and woodlands,19.238575,2021-09-01
Europe,2021,10,Temperate forests and woodlands,19.238575,2021-10-01
Europe,2021,11,Temperate forests and woodlands,19.238575,2021-11-01
Europe,2021,12,Temperate forests and woodlands,19.238575,2021-12-01
Europe,2021,1,Temperate forests and woodlands,67.26873333333333,2021-01-01
Europe,2021,2,Temperate forests and woodlands,67.26873333333333,2021-02-01
Europe,2021,3,Temperate forests and woodlands,67.26873333333333,2021-03-01
Europe,2021,4,Temperate forests and woodlands,67.26873333333333,2021-04-01
Europe,2021,5,Temperate forests and woodlands,67.26873333333333,2021-05-01
Europe,2021,6,Temperate forests and woodlands,67.26873333333333,2021-06-01
Europe,2021,7,Temperate forests and woodlands,67.26873333333333,2021-07-01
Europe,2021,8,Temperate forests and woodlands,67.26873333333333,2021-08-01
Europe,2021,9,Temperate forests and woodlands,67.26873333333333,2021-09-01
Europe,2021,10,Temperate forests and woodlands,67.26873333333333,2021-10-01
Europe,2021,11,Temperate forests and woodlands,67.26873333333333,2021-11-01
Europe,2021,12,Temperate forests and woodlands,67.26873333333333,2021-12-01
Europe,2018,1,Temperate forests and woodlands,36.939258333333335,2018-01-01
Europe,2018,2,Temperate forests and woodlands,36.939258333333335,2018-02-01
Europe,2018,3,Temperate forests and woodlands,36.939258333333335,2018-03-01
Europe,2018,4,Temperate forests and woodlands,36.939258333333335,2018-04-01
Europe,2018,5,Temperate forests and woodlands,36.939258333333335,2018-05-01
Europe,2018,6,Temperate forests and woodlands,36.939258333333335,2018-06-01
Europe,2018,7,Temperate forests and woodlands,36.939258333333335,2018-07-01
Europe,2018,8,Temperate forests and woodlands,36.939258333333335,2018-08-01
Europe,2018,9,Temperate forests and woodlands,36.939258333333335,2018-09-01
Europe,2018,10,Temperate forests and woodlands,36.939258333333335,2018-10-01
Europe,2018,11,Temperate forests and woodlands,36.939258333333335,2018-11-01
Europe,2018,12,Temperate forests and woodlands,36.939258333333335,2018-12-01
Europe,2018,1,Temperate forests and woodlands,34.59475833333333,2018-01-01
Europe,2018,2,Temperate forests and woodlands,34.59475833333333,2018-02-01
Europe,2018,3,Temperate forests and woodlands,34.59475833333333,2018-03-01
Europe,2018,4,Temperate forests and woodlands,34.59475833333333,2018-04-01
Europe,2018,5,Temperate forests and woodlands,34.59475833333333,2018-05-01
Europe,2018,6,Temperate forests and woodlands,34.59475833333333,2018-06-01
Europe,2018,7,Temperate forests and woodlands,34.59475833333333,2018-07-01
Europe,2018,8,Temperate forests and woodlands,34.59475833333333,2018-08-01
Europe,2018,9,Temperate forests and woodlands,34.59475833333333,2018-09-01
Europe,2018,10,Temperate forests and woodlands,34.59475833333333,2018-10-01
Europe,2018,11,Temperate forests and woodlands,34.59475833333333,2018-11-01
